23890098	0.095	0.093
31186339	0.078	0.137
20663735	0.108	0.187
2231378	0.109	0.112
595909	0.069	0.111
5272176	0.003	0.138
1952976	0.071	0.085
24225279	0.105	0.114
2462689	0.065	0.116
20532852	0.0	0.08
15401493	0.137	0.069
18188932	0.023	0.212
2940516	0.093	0.173
1335380	0.081	0.134
1480747	0.161	0.084
24448645	0.098	0.213
15072401	0.05	0.132
4018288	0.155	0.094
4596602	0.106	0.121
15224586	0.105	0.078
15585766	0.057	0.185
1760737	0.036	0.051
29062594	0.089	0.095
29326153	0.11	0.181
9252321	0.024	0.2
8388648	0.164	0.083
13455076	0.132	0.108
33269085	0.087	0.051
2254491	0.057	0.081
447194	0.075	0.136
24165951	0.0	0.246
18549958	0.153	0.163
12978934	0.082	0.102
8471210	0.022	0.196
1925869	0.089	0.116
10799612	0.154	0.149
3150865	0.096	0.044
20591333	0.09	0.051
28238240	0.0	0.0
5414895	0.086	0.114
17124781	0.075	0.221
5425205	0.067	0.165
28207941	0.112	0.0
14330027	0.136	0.076
4356664	0.142	0.071
19174305	0.102	0.067
33417831	0.02	0.114
2408359	0.115	0.145
1838882	0.064	0.196
25755313	0.042	0.078
10016997	0.069	0.061
8153846	0.102	0.258
24486071	0.091	0.0
4466226	0.096	0.181
27975390	0.0	0.0
6167400	0.129	0.176
17711304	0.065	0.173
18392317	0.036	0.104
15161056	0.063	0.203
21500407	0.116	0.073
3459677	0.115	0.122
34420857	0.093	0.11
18369853	0.058	0.08
529276	0.067	0.156
20631892	0.074	0.157
24577134	0.197	0.051
32556450	0.16	0.082
455089	0.051	0.085
23266463	0.104	0.1
35779717	0.059	0.095
23299845	0.048	0.029
226664	0.117	0.112
25113407	0.0	0.188
27403920	0.123	0.11
2524925	0.099	0.086
657446	0.123	0.097
1591973	0.102	0.16
12383757	0.039	0.0
4355919	0.068	0.143
32163620	0.029	0.098
11685571	0.068	0.073
4039635	0.028	0.076
17371197	0.042	0.182
1282593	0.091	0.082
7504323	0.048	0.068
7675415	0.087	0.178
3109393	0.134	0.225
7580720	0.069	0.155
457561	0.103	0.131
32137084	0.214	0.105
4072739	0.043	0.216
8034072	0.115	0.088
3470969	0.072	0.161
4016437	0.089	0.203
17060199	0.118	0.107
7481126	0.094	0.087
9031450	0.211	0.069
1520023	0.066	0.151
14582951	0.07	0.144
4803289	0.036	0.111
1788654	0.05	0.217
25388139	0.195	0.077
21735071	0.108	0.153
15912738	0.065	0.075
24589422	0.179	0.121
4767342	0.105	0.125
28177482	0.039	0.2
3662683	0.121	0.108
